epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.855,2.9648,4.52718,3.82889,0.58167,0.10993,0.05408,0.02727,2.47756,4.6201,3.19131,0.000195788,0.000195788,0.000195788
2,557.778,1.92886,3.49196,2.48715,0.26542,0.34158,0.167,0.11956,1.37017,3.15988,1.97426,0.000384031,0.000384031,0.000384031
3,824.212,1.34278,2.81037,1.90394,0.24156,0.43279,0.26113,0.2058,1.0126,2.49189,1.58403,0.000564512,0.000564512,0.000564512
4,1088.66,1.07436,2.44231,1.63136,0.27999,0.50184,0.32487,0.27228,0.83027,2.08679,1.41566,0.000553073,0.000553073,0.000553073
5,1358.09,0.94127,2.21046,1.49574,0.35203,0.57262,0.45513,0.38314,0.74921,1.97006,1.34462,0.00054143,0.00054143,0.00054143
6,1625.88,0.83146,2.02458,1.39376,0.45383,0.46261,0.46478,0.40779,0.81374,2.0074,1.38785,0.000529788,0.000529788,0.000529788
7,1895.05,0.76858,1.87288,1.32783,0.55324,0.56875,0.60207,0.54371,0.57365,1.57968,1.1323,0.000518146,0.000518146,0.000518146
8,2163.57,0.72144,1.77172,1.27758,0.66697,0.59258,0.63619,0.57526,0.57615,1.45563,1.16075,0.000506503,0.000506503,0.000506503
9,2432.14,0.67658,1.65295,1.23499,0.63134,0.64354,0.69907,0.64713,0.49263,1.25639,1.08222,0.000494861,0.000494861,0.000494861
10,2699.64,0.64741,1.57621,1.20909,0.71542,0.70118,0.74644,0.68932,0.4534,1.08007,1.0217,0.000483218,0.000483218,0.000483218
11,2968.95,0.61614,1.48497,1.18124,0.67019,0.73496,0.74403,0.70195,0.43153,1.09036,1.00129,0.000471576,0.000471576,0.000471576
12,3237.7,0.59654,1.42596,1.16252,0.68366,0.7368,0.76344,0.72543,0.41348,1.0469,0.98136,0.000459934,0.000459934,0.000459934
13,3504.36,0.56574,1.36918,1.13214,0.78404,0.68415,0.80377,0.76777,0.38206,0.95587,0.95006,0.000448291,0.000448291,0.000448291
14,3771.83,0.5503,1.30681,1.12299,0.75848,0.75664,0.80893,0.7678,0.40771,0.93533,0.96879,0.000436649,0.000436649,0.000436649
15,4038.65,0.5312,1.26336,1.10498,0.75315,0.8083,0.83745,0.805,0.36161,0.82961,0.93551,0.000425006,0.000425006,0.000425006
16,4305.58,0.51488,1.22673,1.09133,0.76473,0.79374,0.84641,0.8035,0.36628,0.83192,0.93451,0.000413364,0.000413364,0.000413364
17,4569.96,0.51039,1.19993,1.09165,0.7899,0.79232,0.85516,0.82352,0.32421,0.76362,0.89899,0.000401722,0.000401722,0.000401722
18,4832.88,0.49564,1.16143,1.07605,0.77033,0.7928,0.8534,0.81841,0.33062,0.71912,0.90491,0.000390079,0.000390079,0.000390079
19,5095.73,0.48022,1.12907,1.06446,0.82181,0.8149,0.87751,0.8445,0.32695,0.72006,0.89739,0.000378437,0.000378437,0.000378437
20,5358.65,0.47402,1.09647,1.05826,0.8363,0.78903,0.87647,0.84667,0.31568,0.66765,0.89109,0.000366794,0.000366794,0.000366794
21,5624.85,0.46484,1.08415,1.05409,0.80656,0.83612,0.88948,0.85891,0.30758,0.69768,0.89065,0.000355152,0.000355152,0.000355152
22,5891.47,0.45494,1.05616,1.0456,0.82736,0.8676,0.89952,0.86804,0.30479,0.59869,0.88424,0.00034351,0.00034351,0.00034351
23,6155.27,0.4502,1.02424,1.04453,0.86281,0.84005,0.90094,0.87044,0.29462,0.56895,0.88168,0.000331867,0.000331867,0.000331867
24,6416.12,0.43578,1.0008,1.03371,0.78362,0.80457,0.87398,0.84245,0.29475,0.72246,0.87821,0.000320225,0.000320225,0.000320225
25,6677.15,0.42951,1.00392,1.02625,0.88602,0.82628,0.90161,0.87674,0.28768,0.58975,0.86769,0.000308582,0.000308582,0.000308582
26,6938.39,0.42788,0.9736,1.02015,0.87148,0.78329,0.90141,0.87331,0.29019,0.60392,0.87131,0.00029694,0.00029694,0.00029694
27,7202.91,0.41705,0.95268,1.02059,0.86554,0.85941,0.91322,0.88503,0.2791,0.55044,0.86302,0.000285298,0.000285298,0.000285298
28,7470.99,0.41585,0.93603,1.02079,0.88897,0.86292,0.92289,0.90198,0.26139,0.51501,0.85031,0.000273655,0.000273655,0.000273655
29,7738.92,0.40438,0.92182,1.00902,0.88287,0.84641,0.92031,0.89531,0.2644,0.5223,0.85629,0.000262013,0.000262013,0.000262013
30,8006.78,0.40275,0.89983,1.00611,0.85963,0.88549,0.92892,0.89966,0.25946,0.49764,0.86001,0.00025037,0.00025037,0.00025037
31,8274.44,0.39629,0.87796,1.00031,0.87712,0.84307,0.92759,0.90459,0.25348,0.50149,0.84875,0.000238728,0.000238728,0.000238728
32,8542.05,0.39396,0.86661,0.99857,0.85625,0.9165,0.93538,0.91167,0.24926,0.46955,0.84602,0.000227086,0.000227086,0.000227086
33,8809.59,0.38667,0.85529,0.99431,0.88845,0.87583,0.93424,0.90939,0.24492,0.46903,0.83776,0.000215443,0.000215443,0.000215443
34,9077.08,0.38222,0.84351,0.99489,0.87638,0.86571,0.92842,0.90629,0.25085,0.48166,0.84366,0.000203801,0.000203801,0.000203801
35,9344.05,0.37783,0.82765,0.99022,0.88647,0.88539,0.9348,0.9118,0.24521,0.46381,0.8416,0.000192158,0.000192158,0.000192158
36,9611.45,0.37383,0.81409,0.98765,0.90544,0.87329,0.93541,0.91154,0.24564,0.44364,0.84003,0.000180516,0.000180516,0.000180516
37,9878.58,0.37093,0.80255,0.98083,0.9047,0.87263,0.93905,0.91458,0.24266,0.45355,0.83754,0.000168874,0.000168874,0.000168874
38,10144.5,0.36674,0.79985,0.98388,0.89627,0.89197,0.9463,0.92431,0.23403,0.42429,0.83002,0.000157231,0.000157231,0.000157231
